,Bundesland,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 1)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 6)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 11)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 16)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 21)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 26)",,,
,"Regierungsbezirk
Kreis",,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre
Schlüssel,Gemeinde,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 
07337069, Roschbach,12 ,0 ,0 ,5 ,4 ,1 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,5 ,4 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
07337070, Sankt Martin,28 ,1 ,5 ,13 ,6 ,5 ,0 ,0 ,2 ,1 ,14 ,0 ,2 ,5 ,3 ,2 ,0 ,0 ,0 ,0 ,14 ,1 ,3 ,7 ,3 ,3 ,0 ,0 ,1 ,1 
07337071, Schweigen-Rechtenbach,24 ,1 ,4 ,8 ,5 ,4 ,0 ,0 ,1 ,0 ,13 ,0 ,3 ,6 ,4 ,1 ,0 ,0 ,0 ,0 ,10 ,1 ,1 ,2 ,1 ,3 ,0 ,0 ,0 ,0 
07337072, Schweighofen,15 ,0 ,0 ,10 ,5 ,1 ,0 ,0 ,1 ,1 ,8 ,0 ,0 ,4 ,2 ,1 ,0 ,0 ,1 ,1 ,6 ,0 ,0 ,6 ,3 ,0 ,0 ,0 ,0 ,0 
07337073, Siebeldingen,15 ,1 ,1 ,5 ,4 ,2 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,4 ,3 ,1 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 
07337074, Silz,15 ,1 ,2 ,6 ,5 ,1 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,5 ,5 ,0 ,0 ,0 ,0 ,0 ,7 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
07337076, Steinfeld,38 ,1 ,5 ,11 ,8 ,2 ,0 ,0 ,0 ,0 ,22 ,1 ,3 ,9 ,6 ,1 ,0 ,0 ,0 ,0 ,16 ,1 ,2 ,2 ,2 ,1 ,0 ,0 ,0 ,0 
07337077, Venningen,12 ,0 ,1 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
07337078, Völkersweiler,12 ,0 ,2 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,2 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
07337079, Vorderweidenthal,21 ,2 ,3 ,6 ,5 ,0 ,0 ,0 ,0 ,0 ,11 ,1 ,1 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,10 ,1 ,2 ,2 ,2 ,0 ,0 ,0 ,0 ,0 
07337080, Waldhambach,10 ,0 ,0 ,4 ,1 ,1 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,0 
07337081, Waldrohrbach,10 ,0 ,1 ,2 ,2 ,2 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,2 ,2 ,2 ,0 ,0 ,0 ,0 
07337082, Walsheim,7 ,0 ,1 ,3 ,2 ,2 ,0 ,0 ,1 ,1 ,4 ,0 ,0 ,3 ,2 ,1 ,0 ,0 ,1 ,1 ,3 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
07337083, Wernersberg,11 ,0 ,1 ,4 ,2 ,1 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
07337084, Weyher in der Pfalz,7 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
07337501," Annweiler am Trifels, Stadt",214 ,6 ,21 ,72 ,44 ,26 ,1 ,2 ,8 ,5 ,86 ,3 ,10 ,41 ,28 ,6 ,0 ,1 ,2 ,1 ,128 ,3 ,12 ,31 ,16 ,19 ,0 ,1 ,6 ,4 
07338, Rhein-Pfalz-Kreis,"3,036 ",63 ,315 ,986 ,598 ,556 ,11 ,49 ,118 ,65 ,"1,402 ",22 ,189 ,560 ,401 ,174 ,2 ,20 ,39 ,26 ,"1,634 ",40 ,126 ,425 ,196 ,382 ,9 ,30 ,79 ,38 
07338001, Altrip,139 ,1 ,10 ,55 ,36 ,18 ,0 ,1 ,7 ,6 ,75 ,1 ,7 ,41 ,30 ,7 ,0 ,1 ,4 ,4 ,64 ,0 ,3 ,14 ,6 ,11 ,0 ,0 ,4 ,3 
07338002, Beindersheim,55 ,0 ,5 ,24 ,16 ,16 ,0 ,2 ,8 ,4 ,32 ,0 ,3 ,17 ,13 ,6 ,0 ,1 ,3 ,3 ,23 ,0 ,1 ,7 ,3 ,10 ,0 ,1 ,4 ,1 
07338003, Birkenheide,58 ,1 ,8 ,15 ,8 ,7 ,0 ,0 ,2 ,0 ,35 ,0 ,6 ,10 ,7 ,4 ,0 ,0 ,1 ,0 ,22 ,1 ,2 ,5 ,1 ,3 ,0 ,0 ,1 ,0 
07338004, Bobenheim-Roxheim,236 ,4 ,24 ,76 ,46 ,37 ,1 ,5 ,6 ,3 ,111 ,2 ,18 ,48 ,33 ,11 ,0 ,3 ,2 ,1 ,125 ,2 ,7 ,28 ,12 ,26 ,1 ,2 ,4 ,2 
07338005, Böhl-Iggelheim,211 ,4 ,22 ,66 ,41 ,24 ,0 ,1 ,4 ,1 ,98 ,1 ,14 ,41 ,30 ,5 ,0 ,0 ,0 ,0 ,113 ,3 ,8 ,25 ,11 ,19 ,0 ,1 ,3 ,1 
07338006, Dannstadt-Schauernheim,142 ,2 ,9 ,47 ,32 ,23 ,0 ,1 ,3 ,3 ,59 ,1 ,7 ,27 ,21 ,5 ,0 ,0 ,1 ,1 ,83 ,1 ,2 ,20 ,11 ,18 ,0 ,0 ,2 ,2 
07338007, Dudenhofen,93 ,2 ,10 ,34 ,20 ,15 ,0 ,0 ,5 ,4 ,43 ,1 ,6 ,17 ,12 ,3 ,0 ,0 ,1 ,1 ,50 ,2 ,4 ,17 ,8 ,12 ,0 ,0 ,4 ,3 
07338008, Fußgönheim,63 ,1 ,6 ,21 ,11 ,17 ,0 ,2 ,1 ,1 ,29 ,0 ,4 ,9 ,7 ,8 ,0 ,1 ,1 ,1 ,34 ,1 ,3 ,12 ,4 ,9 ,0 ,0 ,0 ,0 
07338009, Großniedesheim,13 ,0 ,1 ,4 ,1 ,2 ,0 ,0 ,0 ,0 ,11 ,0 ,1 ,3 ,1 ,1 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07338010, Hanhofen,80 ,3 ,8 ,26 ,14 ,12 ,1 ,2 ,0 ,0 ,30 ,1 ,3 ,11 ,8 ,2 ,0 ,0 ,0 ,0 ,50 ,2 ,5 ,15 ,6 ,9 ,1 ,2 ,0 ,0 
07338011, Harthausen,52 ,2 ,7 ,22 ,16 ,9 ,0 ,0 ,4 ,2 ,32 ,1 ,5 ,13 ,10 ,4 ,0 ,0 ,1 ,1 ,20 ,1 ,2 ,9 ,6 ,5 ,0 ,0 ,3 ,2 
07338012, Heßheim,45 ,1 ,4 ,16 ,11 ,5 ,0 ,0 ,1 ,1 ,27 ,1 ,3 ,10 ,7 ,1 ,0 ,0 ,0 ,0 ,18 ,1 ,1 ,6 ,4 ,4 ,0 ,0 ,1 ,1 
07338013, Heuchelheim bei Frankenthal,17 ,0 ,1 ,5 ,3 ,1 ,0 ,0 ,0 ,0 ,10 ,0 ,0 ,4 ,3 ,1 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
07338014, Hochdorf-Assenheim,64 ,1 ,6 ,21 ,12 ,10 ,0 ,0 ,4 ,4 ,25 ,0 ,2 ,11 ,8 ,3 ,0 ,0 ,1 ,1 ,39 ,1 ,4 ,10 ,4 ,7 ,0 ,0 ,3 ,3 
07338015, Kleinniedesheim,18 ,0 ,2 ,9 ,5 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,2 ,7 ,5 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
07338016, Lambsheim,110 ,1 ,12 ,33 ,21 ,20 ,0 ,4 ,1 ,1 ,58 ,1 ,9 ,22 ,16 ,10 ,0 ,2 ,1 ,1 ,51 ,0 ,3 ,10 ,5 ,10 ,0 ,2 ,0 ,0 
07338017, Limburgerhof,188 ,3 ,19 ,55 ,37 ,25 ,0 ,0 ,4 ,3 ,85 ,1 ,12 ,31 ,23 ,6 ,0 ,0 ,1 ,1 ,102 ,2 ,6 ,24 ,14 ,20 ,0 ,0 ,3 ,2 
07338018, Maxdorf,140 ,3 ,12 ,45 ,32 ,22 ,1 ,2 ,5 ,3 ,68 ,1 ,8 ,29 ,23 ,8 ,0 ,1 ,2 ,1 ,72 ,2 ,4 ,16 ,9 ,14 ,1 ,1 ,4 ,1 
07338019, Mutterstadt,309 ,7 ,38 ,107 ,62 ,71 ,1 ,7 ,16 ,8 ,127 ,2 ,19 ,54 ,41 ,19 ,0 ,2 ,3 ,2 ,182 ,5 ,20 ,52 ,21 ,52 ,1 ,5 ,13 ,6 
07338020, Neuhofen,160 ,4 ,15 ,50 ,29 ,27 ,0 ,2 ,7 ,3 ,56 ,0 ,6 ,24 ,18 ,8 ,0 ,1 ,4 ,3 ,103 ,4 ,9 ,26 ,10 ,20 ,0 ,1 ,3 ,1 
07338021, Otterstadt,44 ,1 ,4 ,12 ,8 ,6 ,0 ,0 ,1 ,0 ,19 ,0 ,2 ,6 ,4 ,1 ,0 ,0 ,1 ,0 ,25 ,1 ,2 ,6 ,4 ,5 ,0 ,0 ,0 ,0 
07338022, Rödersheim-Gronau,54 ,1 ,7 ,15 ,9 ,5 ,0 ,0 ,0 ,0 ,28 ,0 ,5 ,10 ,6 ,1 ,0 ,0 ,0 ,0 ,26 ,1 ,2 ,5 ,3 ,4 ,0 ,0 ,0 ,0 
07338023, Römerberg,164 ,6 ,22 ,55 ,39 ,20 ,0 ,2 ,5 ,3 ,84 ,2 ,14 ,30 ,23 ,7 ,0 ,0 ,1 ,1 ,80 ,4 ,8 ,25 ,16 ,13 ,0 ,1 ,4 ,2 
07338025," Schifferstadt, Stadt",475 ,11 ,54 ,137 ,68 ,144 ,4 ,15 ,29 ,11 ,195 ,4 ,28 ,63 ,39 ,47 ,1 ,5 ,11 ,5 ,280 ,7 ,26 ,74 ,30 ,98 ,3 ,10 ,18 ,6 
07338026, Waldsee,108 ,3 ,9 ,36 ,23 ,16 ,1 ,2 ,4 ,2 ,51 ,1 ,5 ,21 ,15 ,4 ,0 ,0 ,0 ,0 ,57 ,2 ,4 ,16 ,8 ,12 ,1 ,2 ,4 ,2 
07339, Mainz-Bingen,"4,786 ",101 ,552 ,"1,497 ",921 ,775 ,15 ,70 ,198 ,114 ,"1,962 ",31 ,266 ,753 ,506 ,202 ,2 ,25 ,55 ,36 ,"2,824 ",71 ,287 ,744 ,415 ,573 ,13 ,45 ,142 ,79 
07339001, Appenheim,15 ,0 ,1 ,6 ,3 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,1 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07339002, Aspisheim,15 ,0 ,2 ,3 ,2 ,2 ,0 ,0 ,0 ,0 ,6 ,0 ,2 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,0 ,1 ,1 ,2 ,0 ,0 ,0 ,0 
07339003," Bacharach, Stadt",66 ,2 ,5 ,26 ,16 ,10 ,1 ,1 ,2 ,2 ,21 ,0 ,2 ,9 ,4 ,2 ,0 ,0 ,1 ,0 ,45 ,1 ,3 ,18 ,11 ,7 ,1 ,1 ,2 ,1 
07339004, Badenheim,11 ,0 ,1 ,4 ,4 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 
07339005," Bingen am Rhein, Stadt",938 ,15 ,102 ,272 ,165 ,159 ,2 ,12 ,37 ,20 ,290 ,2 ,36 ,104 ,69 ,34 ,0 ,2 ,6 ,4 ,649 ,14 ,66 ,168 ,95 ,125 ,2 ,10 ,31 ,17 
07339006, Bodenheim,127 ,2 ,13 ,41 ,29 ,22 ,0 ,2 ,3 ,1 ,71 ,1 ,9 ,31 ,23 ,9 ,0 ,1 ,2 ,1 ,56 ,1 ,4 ,10 ,6 ,13 ,0 ,0 ,0 ,0 
07339007, Breitscheid,3 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07339008, Bubenheim,14 ,0 ,1 ,5 ,4 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,4 ,4 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07339009, Budenheim,231 ,7 ,28 ,69 ,34 ,64 ,3 ,8 ,19 ,10 ,80 ,2 ,16 ,24 ,15 ,18 ,0 ,3 ,6 ,5 ,151 ,5 ,12 ,46 ,20 ,46 ,2 ,5 ,13 ,5 
07339010, Dalheim,16 ,1 ,4 ,4 ,4 ,2 ,0 ,0 ,0 ,0 ,10 ,1 ,3 ,4 ,4 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,1 ,0 ,2 ,0 ,0 ,0 ,0 
07339011, Dexheim,27 ,0 ,4 ,12 ,9 ,2 ,0 ,0 ,1 ,1 ,14 ,0 ,1 ,8 ,7 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,3 ,4 ,2 ,1 ,0 ,0 ,1 ,1 
07339012, Dienheim,30 ,0 ,3 ,12 ,6 ,4 ,0 ,0 ,2 ,1 ,20 ,0 ,3 ,9 ,5 ,2 ,0 ,0 ,2 ,1 ,10 ,0 ,0 ,3 ,2 ,2 ,0 ,0 ,1 ,0 
07339013, Dolgesheim,23 ,1 ,4 ,7 ,4 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,2 ,5 ,4 ,0 ,0 ,0 ,0 ,0 ,13 ,1 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 
07339015, Eimsheim,10 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
07339016, Engelstadt,10 ,0 ,0 ,4 ,3 ,2 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 
07339017, Essenheim,62 ,1 ,8 ,20 ,13 ,6 ,0 ,0 ,2 ,1 ,32 ,0 ,4 ,14 ,10 ,2 ,0 ,0 ,1 ,1 ,30 ,1 ,4 ,6 ,3 ,4 ,0 ,0 ,0 ,0 
07339018, Friesenheim,9 ,1 ,2 ,4 ,2 ,1 ,0 ,0 ,0 ,0 ,8 ,1 ,2 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
07339019," Gau-Algesheim, Stadt",128 ,1 ,13 ,46 ,25 ,19 ,0 ,1 ,8 ,4 ,52 ,1 ,6 ,16 ,13 ,4 ,0 ,0 ,2 ,2 ,76 ,0 ,7 ,30 ,12 ,14 ,0 ,1 ,6 ,2 
07339020, Gau-Bischofsheim,31 ,0 ,1 ,14 ,9 ,4 ,0 ,0 ,1 ,0 ,17 ,0 ,1 ,9 ,5 ,2 ,0 ,0 ,1 ,0 ,14 ,0 ,0 ,5 ,4 ,2 ,0 ,0 ,0 ,0 
07339021, Gensingen,79 ,2 ,8 ,19 ,10 ,23 ,1 ,2 ,4 ,1 ,38 ,1 ,5 ,9 ,5 ,9 ,0 ,1 ,2 ,1 ,41 ,1 ,2 ,10 ,5 ,13 ,1 ,1 ,2 ,0 
07339022, Grolsheim,28 ,1 ,4 ,10 ,4 ,3 ,0 ,0 ,1 ,1 ,13 ,1 ,2 ,6 ,1 ,1 ,0 ,0 ,0 ,0 ,15 ,0 ,2 ,5 ,3 ,2 ,0 ,0 ,1 ,1 
07339024, Guntersblum,99 ,3 ,18 ,30 ,20 ,8 ,0 ,2 ,1 ,0 ,39 ,1 ,7 ,17 ,13 ,2 ,0 ,0 ,0 ,0 ,60 ,3 ,11 ,14 ,7 ,6 ,0 ,2 ,1 ,0 
07339025, Hahnheim,22 ,0 ,3 ,8 ,4 ,3 ,0 ,0 ,0 ,0 ,12 ,0 ,2 ,4 ,3 ,2 ,0 ,0 ,0 ,0 ,10 ,0 ,1 ,4 ,1 ,1 ,0 ,0 ,0 ,0 
07339026, Harxheim,28 ,1 ,3 ,11 ,6 ,2 ,0 ,0 ,0 ,0 ,21 ,0 ,2 ,9 ,6 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,2 ,0 ,2 ,0 ,0 ,0 ,0 
07339027, Heidesheim am Rhein,136 ,2 ,16 ,41 ,25 ,18 ,0 ,2 ,5 ,2 ,64 ,1 ,8 ,23 ,15 ,5 ,0 ,1 ,2 ,1 ,72 ,2 ,8 ,18 ,10 ,12 ,0 ,1 ,3 ,1 
07339028, Hillesheim,12 ,0 ,1 ,5 ,4 ,4 ,0 ,0 ,2 ,2 ,7 ,0 ,1 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,2 ,2 ,4 ,0 ,0 ,2 ,2 
07339029, Horrweiler,17 ,1 ,2 ,6 ,4 ,5 ,0 ,1 ,2 ,0 ,8 ,0 ,2 ,3 ,2 ,2 ,0 ,1 ,0 ,0 ,10 ,1 ,1 ,3 ,2 ,3 ,0 ,0 ,1 ,0 
07339030," Ingelheim am Rhein, Stadt",682 ,19 ,79 ,208 ,123 ,151 ,3 ,14 ,38 ,22 ,228 ,3 ,27 ,85 ,55 ,23 ,0 ,3 ,5 ,3 ,454 ,16 ,52 ,124 ,68 ,128 ,3 ,12 ,33 ,20 
07339031, Jugenheim in Rheinhessen,24 ,0 ,3 ,10 ,7 ,6 ,0 ,0 ,4 ,4 ,11 ,0 ,2 ,6 ,4 ,2 ,0 ,0 ,1 ,1 ,13 ,0 ,1 ,4 ,3 ,4 ,0 ,0 ,3 ,3 
07339032, Klein-Winternheim,46 ,1 ,4 ,10 ,6 ,10 ,0 ,0 ,0 ,0 ,20 ,0 ,1 ,7 ,4 ,3 ,0 ,0 ,0 ,0 ,25 ,0 ,2 ,4 ,2 ,7 ,0 ,0 ,0 ,0 
07339033, Köngernheim,17 ,0 ,2 ,5 ,5 ,3 ,0 ,0 ,1 ,1 ,12 ,0 ,2 ,4 ,4 ,2 ,0 ,0 ,1 ,1 ,5 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 
07339034, Lörzweiler,32 ,1 ,4 ,9 ,6 ,4 ,0 ,0 ,1 ,1 ,17 ,1 ,2 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,1 ,4 ,3 ,3 ,0 ,0 ,1 ,1 
07339035, Ludwigshöhe,10 ,0 ,1 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
07339036, Manubach,6 ,0 ,1 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,4 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
07339037, Mommenheim,49 ,1 ,5 ,20 ,12 ,5 ,0 ,0 ,2 ,2 ,31 ,0 ,4 ,14 ,8 ,1 ,0 ,0 ,0 ,0 ,18 ,0 ,1 ,7 ,5 ,4 ,0 ,0 ,2 ,2 
07339038, Münster-Sarmsheim,74 ,2 ,12 ,20 ,13 ,11 ,0 ,2 ,3 ,2 ,32 ,0 ,6 ,9 ,6 ,3 ,0 ,1 ,1 ,1 ,42 ,1 ,6 ,10 ,8 ,8 ,0 ,1 ,2 ,1 
07339039, Nackenheim,117 ,1 ,11 ,38 ,24 ,21 ,0 ,2 ,5 ,4 ,69 ,0 ,7 ,28 ,18 ,9 ,0 ,1 ,3 ,2 ,48 ,1 ,4 ,9 ,6 ,12 ,0 ,0 ,2 ,2 
07339040, Niederheimbach,25 ,0 ,4 ,9 ,4 ,2 ,0 ,1 ,0 ,0 ,10 ,0 ,2 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,2 ,6 ,3 ,2 ,0 ,0 ,0 ,0 
07339041, Nieder-Hilbersheim,9 ,0 ,2 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 
07339042," Nieder-Olm, Stadt",176 ,5 ,21 ,49 ,32 ,31 ,1 ,2 ,7 ,5 ,75 ,2 ,10 ,23 ,16 ,7 ,0 ,1 ,1 ,1 ,101 ,4 ,11 ,26 ,16 ,24 ,1 ,1 ,6 ,4 
07339043," Nierstein, Stadt",188 ,3 ,20 ,54 ,35 ,31 ,2 ,5 ,8 ,5 ,68 ,0 ,12 ,22 ,15 ,10 ,0 ,2 ,2 ,2 ,120 ,3 ,8 ,33 ,20 ,21 ,2 ,3 ,5 ,2 
07339044, Oberdiebach,13 ,0 ,1 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
07339045, Oberheimbach,12 ,0 ,1 ,4 ,3 ,1 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 
07339046, Ober-Hilbersheim,15 ,0 ,1 ,7 ,7 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,4 ,3 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,3 ,3 ,0 ,0 ,0 ,0 ,0 
07339047, Ober-Olm,98 ,3 ,13 ,33 ,21 ,18 ,1 ,2 ,6 ,4 ,40 ,2 ,7 ,15 ,9 ,6 ,1 ,2 ,2 ,0 ,58 ,2 ,6 ,18 ,12 ,13 ,0 ,0 ,4 ,3 
07339048, Ockenheim,45 ,2 ,7 ,10 ,4 ,6 ,0 ,0 ,1 ,0 ,20 ,0 ,4 ,7 ,2 ,3 ,0 ,0 ,1 ,0 ,25 ,1 ,3 ,3 ,2 ,3 ,0 ,0 ,0 ,0 
07339049," Oppenheim, Stadt",213 ,2 ,23 ,66 ,45 ,30 ,0 ,2 ,8 ,5 ,78 ,2 ,10 ,34 ,27 ,10 ,0 ,1 ,3 ,2 ,136 ,0 ,13 ,32 ,18 ,20 ,0 ,0 ,5 ,2 
07339050, Sankt Johann,30 ,2 ,4 ,5 ,2 ,1 ,0 ,0 ,0 ,0 ,9 ,1 ,2 ,3 ,1 ,1 ,0 ,0 ,0 ,0 ,22 ,1 ,3 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
07339051, Schwabenheim an der Selz,49 ,0 ,4 ,17 ,13 ,6 ,0 ,0 ,1 ,1 ,26 ,0 ,4 ,11 ,9 ,2 ,0 ,0 ,1 ,1 ,23 ,0 ,1 ,6 ,4 ,4 ,0 ,0 ,0 ,0 
07339053, Selzen,23 ,1 ,3 ,4 ,1 ,2 ,0 ,0 ,0 ,0 ,12 ,0 ,1 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,11 ,1 ,1 ,1 ,1 ,1 ,0 ,0 ,0 ,0 
07339054, Sörgenloch,21 ,0 ,1 ,6 ,4 ,4 ,0 ,0 ,0 ,0 ,12 ,0 ,1 ,5 ,4 ,2 ,0 ,0 ,0 ,0 ,9 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 
07339056, Sprendlingen,139 ,5 ,22 ,36 ,21 ,20 ,1 ,4 ,4 ,3 ,43 ,2 ,8 ,13 ,10 ,4 ,0 ,0 ,1 ,1 ,96 ,4 ,15 ,23 ,11 ,16 ,1 ,4 ,3 ,2 
07339057, Stadecken-Elsheim,74 ,1 ,6 ,34 ,21 ,12 ,0 ,1 ,3 ,2 ,43 ,1 ,3 ,20 ,13 ,4 ,0 ,0 ,0 ,0 ,31 ,0 ,3 ,13 ,9 ,8 ,0 ,1 ,2 ,2 
07339058, Trechtingshausen,22 ,0 ,3 ,9 ,4 ,2 ,0 ,0 ,0 ,0 ,10 ,0 ,2 ,5 ,2 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,1 ,4 ,2 ,2 ,0 ,0 ,0 ,0 
07339059, Uelversheim,18 ,0 ,1 ,9 ,5 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,0 ,6 ,4 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
07339060, Undenheim,62 ,3 ,8 ,18 ,11 ,4 ,0 ,0 ,2 ,0 ,25 ,1 ,4 ,10 ,6 ,1 ,0 ,0 ,0 ,0 ,37 ,2 ,4 ,7 ,5 ,4 ,0 ,0 ,2 ,0 
07339061, Wackernheim,48 ,0 ,3 ,18 ,9 ,8 ,0 ,0 ,5 ,2 ,26 ,0 ,2 ,11 ,7 ,4 ,0 ,0 ,3 ,1 ,22 ,0 ,1 ,7 ,2 ,4 ,0 ,0 ,3 ,1 
